Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Card Id,Product Category Id,Product Name,Product Price,shipping date (DateOrders),Shipping Mode,high_lead_time,late_delivery,low_profit,high_discount,delivery_delayed,order_cancelled,lat_bin,lon_bin,location,risk_score,Risk_level,supplier_risk_avg,region_risk_density,location_enc,Order Status_enc,Delivery Status_enc,Shipping Mode_enc,risk_encoded,Predicted_Risk,Order_Date
DEBIT,5,2,16.72999954,128.6900024,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Michael,1222,Garcia,132099,Consumer,PR,9026 Little Avenue,725,4,Apparel,18.23555565,-66.37051392,Europe,Lowestoft,Reino Unido,1222,9/20/2015 21:00,18009.0,403.0,1.299999952,0.01,45004.0,129.9900055,0.129999995,1.0,129.9900055,128.6900024,16.72999954,Northern Europe,Inglaterra,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9/25/2015 21:00,Second Class,1,1,0,0,0,0,18.2,-66.4,Puerto Rico,0.6712733039696765,High,0.6712733039696765,0.4874795469539309,1,2,1,2,2,Low,2015-09-20 21:00:00
DEBIT,6,4,21.48999977,113.0899963,Late delivery,1,18,Men's Footwear,Ontario,EE. UU.,Mary,8643,Valenzuela,34076,Corporate,CA,8399 Cotton Crossing,91761,4,Apparel,34.03303146,-117.6386414,Pacific Asia,Estambul,Turquía,8643,12/15/2016 13:00,48950.0,403.0,16.89999962,0.129999995,122400.0,129.9900055,0.189999998,1.0,129.9900055,113.0899963,21.48999977,West Asia,Estambul,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/21/2016 13:00,Standard Class,1,1,0,0,0,0,34.0,-117.6,EE. UU.,0.5629345743390264,Medium,0.5629345743390264,0.35175171341361916,0,2,1,3,1,Low,2016-12-15 13:00:00
TRANSFER,2,4,28.79000092,63.97000122,Advance shipping,0,36,Golf Balls,Endicott,EE. UU.,Rebecca,6050,Arnold,64335,Consumer,NY,8775 Wishing Pony Byway,13760,6,Outdoors,42.07463837,-76.1240387,Europe,Pescara,Italia,6050,8/28/2015 21:54,16436.0,804.0,15.98999977,0.200000003,41033.0,19.98999977,0.449999988,4.0,79.95999908,63.97000122,28.79000092,Southern Europe,Abruzos,PENDING,804.0,36.0,Glove It Women's Imperial Golf Glove,19.98999977,8/30/2015 21:54,Standard Class,0,0,0,0,0,0,42.1,-76.1,EE. UU.,0.17776462497712173,Low,0.17776462497712173,0.35175171341361916,0,5,0,3,0,Low,2015-08-28 21:54:00
TRANSFER,2,4,207.4799957,414.9599915,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,Mary,5243,Smith,39974,Consumer,PR,2387 Silver Freeway,725,3,Footwear,18.20970345,-66.37059021,Pacific Asia,Antipolo,Filipinas,5243,12/15/2015 15:58,23886.0,191.0,84.98999786,0.170000002,59793.0,99.98999786,0.5,5.0,499.9500122,414.9599915,207.4799957,Southeast Asia,Calabarzón,PENDING,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.98999786,12/17/2015 15:58,Standard Class,0,0,0,1,0,0,18.2,-66.4,Puerto Rico,0.18649899280124116,Low,0.18649899280124116,0.4874795469539309,1,5,0,3,0,Low,2015-12-15 15:58:00
TRANSFER,5,4,77.0,220.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Nathan,9604,Kane,45437,Consumer,PR,1070 Wishing Panda Ramp,725,5,Golf,18.20489121,-66.37063599,Pacific Asia,Abadan,Irán,9604,10/11/2016 18:53,44514.0,502.0,30.0,0.119999997,111138.0,50.0,0.349999994,5.0,250.0,220.0,77.0,South Asia,Juzestán,PROCESSING,502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0,10/16/2016 18:53,Standard Class,1,1,0,0,0,0,18.2,-66.4,Puerto Rico,0.5274117283730794,Low,0.5274117283730794,0.4874795469539309,1,7,1,3,0,Low,2016-10-11 18:53:00
DEBIT,3,4,-12.02999973,18.04000092,Advance shipping,0,7,Hockey,Long Beach,EE. UU.,Mary,10341,Carrillo,1610,Home Office,CA,7358 Wishing Edge,90805,2,Fitness,33.87775421,-118.18116,USCA,Minneapolis,Estados Unidos,10341,4/18/2016 18:46,32457.0,135.0,3.960000038,0.180000007,81173.0,22.0,-0.670000017,1.0,22.0,18.04000092,-12.02999973,US Center ,Minnesota,ON_HOLD,135.0,7.0,Nike Dri-FIT Crew Sock 6 Pack,22.0,4/21/2016 18:46,Standard Class,0,0,1,0,0,0,33.9,-118.2,EE. UU.,0.2112981954349045,Low,0.2112981954349045,0.35175171341361916,0,3,0,3,0,Low,2016-04-18 18:46:00
PAYMENT,3,4,-21.40999985,29.53000069,Advance shipping,0,59,Books ,Caguas,Puerto Rico,Carolyn,12555,Lang,132091,Home Office,PR,5488 Thunder Fox Extension,725,8,Book Shop,18.26198769,-66.37060547,Europe,Paris,Francia,12555,10/4/2017 6:07,69002.0,1346.0,1.549999952,0.050000001,172317.0,31.07999992,-0.730000019,1.0,31.07999992,29.53000069,-21.40999985,Western Europe,Isla de Francia,PENDING_PAYMENT,1346.0,59.0,Sports Books ,31.07999992,10/7/2017 6:07,Standard Class,0,0,1,0,0,0,18.3,-66.4,Puerto Rico,0.21155265800636888,Low,0.21155265800636888,0.4874795469539309,1,6,0,3,0,Low,2017-10-04 06:07:00
DEBIT,5,2,9.260000229,123.4899979,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Elizabeth,4490,Smith,11623,Consumer,PR,6317 Golden Bear Dell,725,4,Apparel,18.20479202,-66.37050629,LATAM,Buenos Aires,Argentina,4490,4/30/2017 15:37,58274.0,403.0,6.5,0.050000001,145817.0,129.9900055,0.079999998,1.0,129.9900055,123.4899979,9.260000229,South America,Buenos Aires,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,5/5/2017 15:37,Second Class,1,1,0,0,0,0,18.2,-66.4,Puerto Rico,0.6756637541800663,High,0.6756637541800663,0.4874795469539309,1,2,1,2,2,Low,2017-04-30 15:37:00
TRANSFER,4,4,71.38999939,203.9700012,Shipping on time,0,17,Cleats,Los Angeles,EE. UU.,Mary,11720,Smith,68711,Consumer,CA,5530 Emerald Elk Mews,90003,4,Apparel,33.9598465,-118.3780823,Africa,Abidjan,Costa de Marfil,11720,1/9/2017 21:54,50688.0,365.0,35.99000168,0.150000006,126673.0,59.99000168,0.349999994,4.0,239.9600067,203.9700012,71.38999939,West Africa,Lagunes,PROCESSING,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99000168,1/13/2017 21:54,Standard Class,0,0,0,1,0,0,34.0,-118.4,EE. UU.,0.2486019826603429,Low,0.2486019826603429,0.35175171341361916,0,7,3,3,0,Low,2017-01-09 21:54:00
DEBIT,2,1,-97.33999634,324.4700012,Late delivery,1,73,Sporting Goods,Detroit,EE. UU.,Dominique,19460,Rogers,95655,Consumer,MI,3915 Broad Lookout,48238,2,Fitness,42.39110184,-83.13121796,Pacific Asia,Suzhou,China,19460,1/13/2018 1:15,75907.0,1360.0,3.279999971,0.01,179222.0,327.75,-0.300000012,1.0,327.75,324.4700012,-97.33999634,Eastern Asia,Gansu,COMPLETE,1360.0,73.0,Smart watch ,327.75,1/15/2018 1:15,First Class,0,1,1,0,0,0,42.4,-83.1,EE. UU.,0.5927725027763054,Medium,0.5927725027763054,0.35175171341361916,0,2,1,0,1,Medium,2018-01-13 01:15:00
PAYMENT,4,4,35.09999847,129.9900055,Shipping on time,0,18,Men's Footwear,Aguadilla,Puerto Rico,Mary,6497,Lee,64356,Home Office,PR,7381 Green Autoroute,603,4,Apparel,18.44935989,-67.15180206,Africa,Luanda,Angola,6497,10/21/2016 18:31,45198.0,403.0,0.0,0.0,112912.0,129.9900055,0.270000011,1.0,129.9900055,129.9900055,35.09999847,Central Africa,Luanda,PENDING_PAYMENT,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,10/25/2016 18:31,Standard Class,0,0,0,0,0,0,18.4,-67.2,Puerto Rico,0.23390056839276283,Low,0.23390056839276283,0.4874795469539309,1,6,3,3,0,Low,2016-10-21 18:31:00
PAYMENT,2,4,-28.95999908,128.6900024,Advance shipping,0,18,Men's Footwear,Caguas,Puerto Rico,Crystal,11166,Brown,98402,Home Office,PR,1893 Pleasant Isle,725,4,Apparel,18.2325573,-66.37059021,LATAM,Tlaquepaque,México,11166,1/11/2015 3:29,696.0,403.0,1.299999952,0.01,1709.0,129.9900055,-0.230000004,1.0,129.9900055,128.6900024,-28.95999908,Central America,Jalisco,PENDING_PAYMENT,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,1/13/2015 3:29,Standard Class,0,0,1,0,0,0,18.2,-66.4,Puerto Rico,0.1794181536066841,Low,0.1794181536066841,0.4874795469539309,1,6,0,3,0,High,2015-01-11 03:29:00
